emotion,소개,작가명,작품명,address,topic,주제,멘트
분노,오늘 하루도 수고한 당신을 위한 밤의 테라스,빈센트 반 고흐,밤의 카페 테라스,http://blog.naver.com/storyphoto/viewer.jsp?src=https%3A%2F%2Fblogfiles.pstatic.net%2FMjAyMjA3MTZfMjUg%2FMDAxNjU3OTUwMDQ1OTU5.9C_Ktl6SJtzmX8ueQY4Hc0nNtDHK63O7jRk0v3d9RF4g.ZQu-nG-mFT4uxcON0HU_j__FZG-0a5sqjCVOoBukimAg.JPEG.imoxygen%2FIMG_4620.jpg,work,일의 행복을 위하여,"세 가지 조건 모두를 충족시키기 쉽지 않기에, 우리는 일로부터 잦은 스트레스를 받곤 합니다. 이 파트의 그림은 지친 머리를 맑게 하고 일의 집중력과 에너지, 의욕을 자극해 일의 행복을 찾는 데 도움을 줄 것입니다."
분노,"둥근 원, 빨강, 그리고 체력 에너지",바실리 칸딘스키,동심원들과 정사각형들,https://mblogthumb-phinf.pstatic.net/MjAxNzEwMTdfMTM2/MDAxNTA4MjEzODgwMzEw.SyEdzkesysoZHS-CQR3w6Qcrv2RLly-vtpbcLPRZ3DQg.65CKrdVwNOBk1XF01QV5-HqPjB5Pzcu5EvlvApccZwcg.JPEG.hanolquilt/NaverBlog_20171017_131759_00.jpg?type=w2,work,일의 행복을 위하여,"세 가지 조건 모두를 충족시키기 쉽지 않기에, 우리는 일로부터 잦은 스트레스를 받곤 합니다. 이 파트의 그림은 지친 머리를 맑게 하고 일의 집중력과 에너지, 의욕을 자극해 일의 행복을 찾는 데 도움을 줄 것입니다."
분노,"아무것고, 아무 생각도 하지 않을 자유",구스타브 카유보트,창가의 남자,http://blog.naver.com/storyphoto/viewer.jsp?src=https%3A%2F%2Fblogfiles.pstatic.net%2FMjAxODA2MDZfOTcg%2FMDAxNTI4Mjg2NDgxNzU3.uHxyj7mlL5LjtUmfDiuEMzgQ11bM6q_awhj3bfIbScwg._aqySuQCkpC1kyyCOcD1cbL_NkiY9IOrMOd31ZwAEfog.JPEG.ubin1313%2FKakaoTalk_20180606_20340,work,일의 행복을 위하여,"세 가지 조건 모두를 충족시키기 쉽지 않기에, 우리는 일로부터 잦은 스트레스를 받곤 합니다. 이 파트의 그림은 지친 머리를 맑게 하고 일의 집중력과 에너지, 의욕을 자극해 일의 행복을 찾는 데 도움을 줄 것입니다."
분노,손과 마음이 가는대로,에두아르 마네,비눗방울 부는 소년,https://blogfiles.pstatic.net/MjAyMDAzMjhfNzIg/MDAxNTg1MzYwMDcyOTE0.riVtI1_pmChG96oAE0ZjFZBotTc37Q4sxHmmpjAKZvwg.4844Lg7UM00LwVEqNrdTRvFtDyWaUIJ2PbjGRZ3pjV8g.JPEG.migoing/726px-Boy_Blowing_Bubbles_Edouard_Manet.jpg,work,일의 행복을 위하여,"세 가지 조건 모두를 충족시키기 쉽지 않기에, 우리는 일로부터 잦은 스트레스를 받곤 합니다. 이 파트의 그림은 지친 머리를 맑게 하고 일의 집중력과 에너지, 의욕을 자극해 일의 행복을 찾는 데 도움을 줄 것입니다."
분노,나에게 도움을 주는 사람들,존 밀레이,눈 먼 소녀,https://blogfiles.pstatic.net/MjAxODEwMjRfMTc2/MDAxNTQwMzgwMDExMTY2.YfogUDN39QyHE_TN8e0W-j5o9jOdbfG_YkvzG9dwH4Qg.NDvjVpW-0PhsQJrg--K9R0icWPqrnZaYd2OZ9yxGgB4g.JPEG.soulmate7750/%EB%88%88_%EB%A8%BC_%EC%86%8C%EB%85%80-tile.jpg,work,일의 행복을 위하여,"세 가지 조건 모두를 충족시키기 쉽지 않기에, 우리는 일로부터 잦은 스트레스를 받곤 합니다. 이 파트의 그림은 지친 머리를 맑게 하고 일의 집중력과 에너지, 의욕을 자극해 일의 행복을 찾는 데 도움을 줄 것입니다."
분노,신선한 아이디어를 얻으려면,앙리 마티스,"폴리네시아, 하늘 / 폴리네시아, 바다",https://mblogthumb-phinf.pstatic.net/20160804_104/heasungpak_14702701132130wkVp_JPEG/image_7486633891470264609309.jpg?type=w800,work,일의 행복을 위하여,"세 가지 조건 모두를 충족시키기 쉽지 않기에, 우리는 일로부터 잦은 스트레스를 받곤 합니다. 이 파트의 그림은 지친 머리를 맑게 하고 일의 집중력과 에너지, 의욕을 자극해 일의 행복을 찾는 데 도움을 줄 것입니다."
분노,짜증을 풀려면 붉은 방에 가라,앙리 마티스,붉은 조화,https://blogfiles.pstatic.net/MjAyMTA5MjBfMTYx/MDAxNjMyMTI3NzgzMDUy.IfV4j5Qy0nKp5E05o_X8E054QUiA1ulfJx7EW--CQWwg.N-8k5XUOloI34_tea3xa6rioXA9OnSWsu01In7HJjPog.JPEG.yyongblee/comment_7rvints9kDbot9eexjNr7cyHQFt569xW.jpg,work,일의 행복을 위하여,"세 가지 조건 모두를 충족시키기 쉽지 않기에, 우리는 일로부터 잦은 스트레스를 받곤 합니다. 이 파트의 그림은 지친 머리를 맑게 하고 일의 집중력과 에너지, 의욕을 자극해 일의 행복을 찾는 데 도움을 줄 것입니다."
분노,나도 의욕적으로 일하고 싶다,장 조푸루아,"교실, 공부하는 아이들","https://blogfiles.pstatic.net/MjAyMTA0MTNfMTY4/MDAxNjE4MzE4MDcxNTk5.uJoD2BlkYZ07tH_jeXplXd7c4afbRaqCowqAmRo2UgYg.lyF1YU6yYJJGhZnflcO5eNpRHVpyF3vQntZp9iQIbj4g.JPEG.judys95/Jean_Geoffroy_-_En_classe,_le_travail_des_petits.jpg",work,일의 행복을 위하여,"세 가지 조건 모두를 충족시키기 쉽지 않기에, 우리는 일로부터 잦은 스트레스를 받곤 합니다. 이 파트의 그림은 지친 머리를 맑게 하고 일의 집중력과 에너지, 의욕을 자극해 일의 행복을 찾는 데 도움을 줄 것입니다."
분노,배움에 대한 열정,장 밥티스트 시메옹 샤르댕,젊은 여선생,https://blogfiles.pstatic.net/20120512_121/xing_i_13367941176289saDF_JPEG/%C0%FE%C0%BA_%BF%A9%BC%B1%BB%FD.jpg,work,일의 행복을 위하여,"세 가지 조건 모두를 충족시키기 쉽지 않기에, 우리는 일로부터 잦은 스트레스를 받곤 합니다. 이 파트의 그림은 지친 머리를 맑게 하고 일의 집중력과 에너지, 의욕을 자극해 일의 행복을 찾는 데 도움을 줄 것입니다."
분노,마음을 어루만지는 그림이 필요한 이유,에드가 드가,시골 경마장,https://blogfiles.pstatic.net/20150415_67/ngyadpr_14290948497738LwAi_PNG/%C4%B8%C3%B3.PNG,work,일의 행복을 위하여,"세 가지 조건 모두를 충족시키기 쉽지 않기에, 우리는 일로부터 잦은 스트레스를 받곤 합니다. 이 파트의 그림은 지친 머리를 맑게 하고 일의 집중력과 에너지, 의욕을 자극해 일의 행복을 찾는 데 도움을 줄 것입니다."
분노,하기 싫은 일로부터의 스트레스,자코모 발라,줄에 매인 개의 움직임,https://blogfiles.pstatic.net/20140715_228/helmut_lang_14054287587652RpGd_JPEG/giacomo-balla-dynamism-of-a-dog-on-a-leash.jpg,work,일의 행복을 위하여,"세 가지 조건 모두를 충족시키기 쉽지 않기에, 우리는 일로부터 잦은 스트레스를 받곤 합니다. 이 파트의 그림은 지친 머리를 맑게 하고 일의 집중력과 에너지, 의욕을 자극해 일의 행복을 찾는 데 도움을 줄 것입니다."
분노,집중력을 위한 최상의 분위기,조르주 드 라 투르,작은 등불 앞의 막달라 마리아,https://blogfiles.pstatic.net/MjAyMTExMTBfMTcw/MDAxNjM2NTI5NjgwNzcy.azsZY93ZTK3-t90vKAE44q-vhKQ_Uped4svgoXvX7w0g.jYTwmXy4p3zj5xo_68GhtD_beLcsrlGr1PqU7bwwHewg.JPEG.ensemble_or/SE-734d1a11-b5c3-42d8-993d-a002d097f98a.jpg,work,일의 행복을 위하여,"세 가지 조건 모두를 충족시키기 쉽지 않기에, 우리는 일로부터 잦은 스트레스를 받곤 합니다. 이 파트의 그림은 지친 머리를 맑게 하고 일의 집중력과 에너지, 의욕을 자극해 일의 행복을 찾는 데 도움을 줄 것입니다."
분노,긴장을 풀어주는 노랑의 힘,폴 고갱,기도하는 브르타뉴의 여인,https://blogfiles.pstatic.net/MjAxNzA2MTZfMjI0/MDAxNDk3NTgxMjk0OTM3.3Hj2y7NW27IBhFSjtHPM2i1CRehSptxjNbLizfb_mFgg.Zgqz2qKKrI-viDdQlVDfEEsSPk3OVzSf2Q6T2v-T2q8g.PNG.ranaclinic/__(2).png,work,일의 행복을 위하여,"세 가지 조건 모두를 충족시키기 쉽지 않기에, 우리는 일로부터 잦은 스트레스를 받곤 합니다. 이 파트의 그림은 지친 머리를 맑게 하고 일의 집중력과 에너지, 의욕을 자극해 일의 행복을 찾는 데 도움을 줄 것입니다."
분노,에너지가 쏟아지는 순간을 맞이하라,가쓰시카 호쿠사이,가나가와 해변의 높은 파도 아래,https://blogfiles.pstatic.net/MjAyMTAyMDhfMjQy/MDAxNjEyNzQ4MDM5ODUw.kCGLf7m2pkJPQ_4FAN9Bm_DlLTq_K2mYGodoElwCzvog.rHomH-1fBFSbyod9eZYLP8g7PEknIf9LQy3wv5FtfA8g.JPEG.last_grammar/%EF%BB%BF%EA%B0%80%EB%82%98%EA%B0%80%EC%99%80_%ED%95%B4%EB%B3%80%EC%9D%98_%EB%86,work,일의 행복을 위하여,"세 가지 조건 모두를 충족시키기 쉽지 않기에, 우리는 일로부터 잦은 스트레스를 받곤 합니다. 이 파트의 그림은 지친 머리를 맑게 하고 일의 집중력과 에너지, 의욕을 자극해 일의 행복을 찾는 데 도움을 줄 것입니다."
분노,나의 감정을 이해해 주세요,후고 짐베르크,부상당한 천사,https://blogfiles.pstatic.net/MjAyMDA3MzBfMTEx/MDAxNTk2MDgwMTAwMTA4.6ObLPr3x4WO18t8N_HkHcsRwa18cdruy4U0I1yCQUdcg.lE3LyeX2W0gS_RxPr-68CeYGo2xAJGjGwUx2r4V0IjUg.JPEG.stjy0526/SE-3c273113-542b-4c65-b3da-88620d98f5f2.jpg,work,일의 행복을 위하여,"세 가지 조건 모두를 충족시키기 쉽지 않기에, 우리는 일로부터 잦은 스트레스를 받곤 합니다. 이 파트의 그림은 지친 머리를 맑게 하고 일의 집중력과 에너지, 의욕을 자극해 일의 행복을 찾는 데 도움을 줄 것입니다."
